[2024-09-22 16:36:52:10910][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-09-22 16:36:52:10921][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-09-22 16:36:52:10921][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
[2024-09-22 16:36:52:11150][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-09-22 16:36:52:11150][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 10012 ms
[2024-09-22 16:36:52:11594][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-09-22 16:36:52:11635][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.12.Final
[2024-09-22 16:36:52:11757][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2024-09-22 16:36:53:11905][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-09-22 16:36:53:12323][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-09-22 16:36:53:12334][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2024-09-22 16:36:54:13035][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2024-09-22 16:36:54:13043][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-09-22 16:36:54:13068][main] INFO  com.goms.v2.GomsV2Application - Goms Application TimeZone was set: 2024-09-22T16:36:54.260338
[2024-09-22 16:36:55:14672][main] INFO  c.g.v.t.n.config.FcmConfig - init start
[2024-09-22 16:36:56:15405][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2024-09-22 16:36:56:15770][main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 14 endpoint(s) beneath base path '/actuator'
[2024-09-22 16:36:57:15828][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@42d039ef, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@397ff526, org.springframework.security.web.context.SecurityContextPersistenceFilter@6f0ea5de, org.springframework.security.web.header.HeaderWriterFilter@1c38d025, org.springframework.web.filter.CorsFilter@190a5f74, org.springframework.security.web.authentication.logout.LogoutFilter@1b131102, com.goms.v2.global.filter.ExceptionHandlerFilter@48d588dd, com.goms.v2.global.filter.RequestLogFilter@b09df69, com.goms.v2.global.filter.JwtRequestFilter@4d19ddeb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3ae81b53, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4b9da2f0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@623dac3, org.springframework.security.web.session.SessionManagementFilter@350a3df3, org.springframework.security.web.access.ExceptionTranslationFilter@7942987, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4de5d46c]
[2024-09-22 16:36:57:16222][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-09-22 16:36:57:16242][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2024-09-22 16:36:57:16268][main] INFO  com.goms.v2.GomsV2ApplicationKt - Started GomsV2ApplicationKt in 15.965 seconds (JVM running for 17.213)
[2024-09-22 16:36:57:16722][RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2024-09-22 16:36:57:16722][RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2024-09-22 16:36:57:16724][RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
[2024-09-22 16:37:11:30391][http-nio-8080-exec-2] INFO  c.g.v.g.filter.RequestLogFilter - client ip = 0:0:0:0:0:0:0:1
[2024-09-22 16:37:11:30393][http-nio-8080-exec-2] INFO  c.g.v.g.filter.RequestLogFilter - request method = POST
[2024-09-22 16:37:11:30393][http-nio-8080-exec-2] INFO  c.g.v.g.filter.RequestLogFilter - request url = /api/v2/auth/email/send
[2024-09-22 16:37:12:30964][http-nio-8080-exec-2] INFO  c.g.v.d.a.d.e.CreateAuthenticationEventHandler - createAuthenticationEvent is active
[2024-09-22 16:37:12:31049][http-nio-8080-exec-2] INFO  c.g.v.g.filter.RequestLogFilter - response status = 204
[2024-09-22 16:51:28:887051][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-09-22 16:51:28:887069][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2024-09-22 16:51:28:887114][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
